call_id,ring_timestamp_unix,pick_up_timestamp_unix,call_end_timestamp,latitude,longitude,call_taker_station_id,agent_id,ring_timestamp,pickup_timestamp,call_duration_seconds,total_number_of_agents
CALL_000036,1718424840,1718424840,2024-06-15 01:21:16,40.684757,-74.040271,STATION_03,AGENT_09,2024-06-15 01:14:00,2024-06-15 01:14:00,436,15
CALL_000203,1718446560,1718446560,2024-06-15 07:20:26,40.431918,-74.375682,STATION_10,AGENT_18,2024-06-15 07:16:00,2024-06-15 07:16:00,266,15
CALL_000210,1718447160000,1718447160000,2024-06-15 07:33:07,40.729348,-74.051936,STATION_05,AGENT_18,2024-06-15 07:26:00,2024-06-15 07:26:00,427,15
CALL_000698,1718510700,1718510702,2024-06-16 01:15:58,40.921983,-73.900394,STATION_03,AGENT_09,2024-06-16 01:05:00,2024-06-16 01:05:02,656,15
CALL_001013,1718551380,1718551380,2024-06-16 12:30:50,40.673542,-74.089726,STATION_07,AGENT_07,2024-06-16 12:23:00,2024-06-16 12:23:00,470,15
CALL_001291,1718587740,1718587742,2024-06-16 22:41:44,40.609947,-74.069276,STATION_04,AGENT_16,2024-06-16 22:29:00,2024-06-16 22:29:02,762,15
CALL_001335,1718593020,1718593021,2024-06-17 00:01:12,40.646457,-74.02415,STATION_14,AGENT_16,2024-06-16 23:57:00,2024-06-16 23:57:01,251,15
CALL_001877,1718663580,1718663580,2024-06-17 19:38:13,40.839404,-73.967769,STATION_01,AGENT_04,2024-06-17 19:33:00,2024-06-17 19:33:00,313,15
CALL_000101,1718433300,1718433302,2024-06-15 03:44:27,40.855002,-74.201209,STATION_01,AGENT_01,2024-06-15 03:35:00,2024-06-15 03:35:02,565,15
CALL_000111,1718434560,1718434560,2024-06-15 04:09:55,40.698288,-73.896122,STATION_09,AGENT_13,2024-06-15 03:56:00,2024-06-15 03:56:00,835,15
CALL_000431,1718476020,1718476021,2024-06-15 15:37:13,40.720953,-73.95167,STATION_04,AGENT_15,2024-06-15 15:27:00,2024-06-15 15:27:01,612,15
CALL_000807,1718524860,1718524860,2024-06-16 05:04:32,40.771926,-74.048076,STATION_09,AGENT_13,2024-06-16 05:01:00,2024-06-16 05:01:00,212,15
CALL_001074,1718559540,1718559541,2024-06-16 14:47:19,40.749583,-73.885974,STATION_02,AGENT_07,2024-06-16 14:39:00,2024-06-16 14:39:01,498,15
CALL_001262,1718583720,1718583722,2024-06-16 21:27:22,40.710412,-74.059145,STATION_11,AGENT_04,2024-06-16 21:22:00,2024-06-16 21:22:02,320,15
CALL_001334,1718592960,1718592961,2024-06-17 00:06:43,40.747552,-73.973832,STATION_13,AGENT_12,2024-06-16 23:56:00,2024-06-16 23:56:01,642,15
CALL_001596,1718627460,1718627460,2024-06-17 09:42:49,40.635706,-73.920992,STATION_05,AGENT_18,2024-06-17 09:31:00,2024-06-17 09:31:00,709,15
CALL_001668,1718636400,1718636400,2024-06-17 12:05:13,40.715171,-73.940769,STATION_09,AGENT_15,2024-06-17 12:00:00,2024-06-17 12:00:00,313,15
CALL_001739,1718645520,1718645520,2024-06-17 14:37:51,40.672266,-74.107448,STATION_14,AGENT_15,2024-06-17 14:32:00,2024-06-17 14:32:00,351,15
CALL_001756,1718647920,1718647920,2024-06-17 15:28:47,40.687758,-73.870889,STATION_12,AGENT_07,2024-06-17 15:12:00,2024-06-17 15:12:00,1007,15
CALL_001898,1718666340,1718666340,2024-06-17 20:28:09,40.695446,-74.157004,STATION_10,AGENT_20,2024-06-17 20:19:00,2024-06-17 20:19:00,549,15
CALL_001909,1718667600,1718667602,2024-06-17 20:44:32,40.69448,-74.226124,STATION_11,AGENT_04,2024-06-17 20:40:00,2024-06-17 20:40:02,270,15
CALL_000029,1718423700,1718423700,2024-06-15 01:02:14,40.811326,-74.057827,STATION_01,AGENT_01,2024-06-15 00:55:00,2024-06-15 00:55:00,434,15
CALL_000303,1718459340,1718459340,2024-06-15 11:00:13,40.337489,-73.692732,STATION_07,AGENT_06,2024-06-15 10:49:00,2024-06-15 10:49:00,673,15
CALL_000388,1718470740,1718470741,2024-06-15 14:10:54,40.85125,-73.967806,STATION_12,AGENT_07,2024-06-15 13:59:00,2024-06-15 13:59:01,713,15
CALL_000793,1718523180,1718523181,2024-06-16 04:41:41,40.852781,-74.030703,STATION_03,AGENT_09,2024-06-16 04:33:00,2024-06-16 04:33:01,520,15
CALL_000895,1718536260,1718536260,2024-06-16 08:36:00,40.640457,-74.088541,STATION_12,AGENT_06,2024-06-16 08:11:00,2024-06-16 08:11:00,1500,15
CALL_001119,1718565120,1718565120,2024-06-16 16:21:34,40.665625,-74.077217,STATION_07,AGENT_07,2024-06-16 16:12:00,2024-06-16 16:12:00,574,15
CALL_001144,1718568540,1718568541,2024-06-16 17:22:22,40.677837,-74.07953,STATION_09,AGENT_15,2024-06-16 17:09:00,2024-06-16 17:09:01,801,15
CALL_001148,1718568960,1718568962,2024-06-16 17:20:29,40.710199,-74.047791,STATION_07,AGENT_07,2024-06-16 17:16:00,2024-06-16 17:16:02,267,15
CALL_001229,1718579400,1718579401,2024-06-16 20:13:07,40.70429,-74.062061,STATION_08,AGENT_12,2024-06-16 20:10:00,2024-06-16 20:10:01,186,15
CALL_001234,1718580120,1718580121,2024-06-16 20:32:34,40.623685,-74.047182,STATION_08,AGENT_12,2024-06-16 20:22:00,2024-06-16 20:22:01,633,15
CALL_001364,1718596920,1718596921,2024-06-17 01:14:10,40.790915,-74.123617,STATION_14,AGENT_13,2024-06-17 01:02:00,2024-06-17 01:02:01,729,15
CALL_001385,1718599740,1718599741,2024-06-17 01:53:10,40.708528,-73.952371,STATION_06,AGENT_01,2024-06-17 01:49:00,2024-06-17 01:49:01,249,15
CALL_001454,1718608740,1718608740,2024-06-17 04:28:27,40.665818,-74.159758,STATION_14,AGENT_13,2024-06-17 04:19:00,2024-06-17 04:19:00,567,15
CALL_001660,1718635500,1718635501,2024-06-17 11:54:08,40.710497,-74.167671,STATION_15,AGENT_18,2024-06-17 11:45:00,2024-06-17 11:45:01,547,15
CALL_001738,1718645520,1718645522,2024-06-17 14:43:01,40.803474,-74.130454,STATION_03,AGENT_11,2024-06-17 14:32:00,2024-06-17 14:32:02,659,15
CALL_001773,1718649840,1718649840,2024-06-17 15:52:54,40.650169,-73.894076,STATION_12,AGENT_07,2024-06-17 15:44:00,2024-06-17 15:44:00,534,15
CALL_001812,1718654940,1718654942,2024-06-17 17:19:27,40.429267,-74.594062,STATION_12,AGENT_07,2024-06-17 17:09:00,2024-06-17 17:09:02,625,15
CALL_001938,1718671320,1718671321,2024-06-17 21:49:50,40.594535,-74.074605,STATION_13,AGENT_12,2024-06-17 21:42:00,2024-06-17 21:42:01,469,15
CALL_001957,1718673780,1718673782,2024-06-17 22:26:53,40.669965,-74.456208,STATION_02,AGENT_08,2024-06-17 22:23:00,2024-06-17 22:23:02,231,15
CALL_001199,1718575500,1718575500,2024-06-16 19:14:42,40.739499,-73.992893,STATION_06,AGENT_04,2024-06-16 19:05:00,2024-06-16 19:05:00,582,15
CALL_001372,1718598060,1718598062,2024-06-17 01:26:40,41.05371,-73.757911,STATION_13,AGENT_09,2024-06-17 01:21:00,2024-06-17 01:21:02,338,15
CALL_001451,1718608560,1718608560,2024-06-17 04:26:47,40.646687,-74.069288,STATION_06,AGENT_01,2024-06-17 04:16:00,2024-06-17 04:16:00,647,15
CALL_001525,1718617860,1718617860,2024-06-17 06:57:23,40.732193,-74.205553,STATION_12,AGENT_06,2024-06-17 06:51:00,2024-06-17 06:51:00,383,15
CALL_001568,1718623440,1718623441,2024-06-17 08:29:39,40.685843,-74.074628,STATION_04,AGENT_14,2024-06-17 08:24:00,2024-06-17 08:24:01,338,15
CALL_001759,1718648220,1718648222,2024-06-17 15:25:23,40.420891,-74.377038,STATION_02,AGENT_07,2024-06-17 15:17:00,2024-06-17 15:17:02,501,15
CALL_001960,1718674080,1718674082,2024-06-17 22:36:37,40.854852,-73.93489,STATION_09,AGENT_16,2024-06-17 22:28:00,2024-06-17 22:28:02,515,15
CALL_000278,1718456400,1718456400,2024-06-15 10:14:45,40.675302,-73.942759,STATION_12,AGENT_06,2024-06-15 10:00:00,2024-06-15 10:00:00,885,15
CALL_000329,1718462700,1718462701,2024-06-15 11:55:34,40.784375,-74.108652,STATION_07,AGENT_06,2024-06-15 11:45:00,2024-06-15 11:45:01,633,15
CALL_000346,1718465040,1718465040,2024-06-15 12:29:38,40.388947,-74.349895,STATION_03,AGENT_11,2024-06-15 12:24:00,2024-06-15 12:24:00,338,15
CALL_000369,1718468040,1718468041,2024-06-15 13:22:15,40.739415,-73.94128,STATION_15,AGENT_19,2024-06-15 13:14:00,2024-06-15 13:14:01,494,15
CALL_000751,1718517660,1718517661,2024-06-16 03:12:38,40.909561,-74.55138,STATION_03,AGENT_09,2024-06-16 03:01:00,2024-06-16 03:01:01,697,15
CALL_001053,1718556960,1718556960,2024-06-16 14:04:06,40.657832,-74.066859,STATION_02,AGENT_07,2024-06-16 13:56:00,2024-06-16 13:56:00,486,15
CALL_001186,1718574000,1718574002,2024-06-16 18:49:27,40.623325,-74.142582,STATION_10,AGENT_20,2024-06-16 18:40:00,2024-06-16 18:40:02,565,15
CALL_001230,1718579400,1718579402,2024-06-16 20:32:46,40.693067,-74.184271,STATION_13,AGENT_12,2024-06-16 20:10:00,2024-06-16 20:10:02,1364,15
CALL_001309,1718589660,1718589660,2024-06-16 23:07:24,40.792247,-74.014372,STATION_02,AGENT_08,2024-06-16 23:01:00,2024-06-16 23:01:00,384,15
CALL_001315,1718590560,1718590562,2024-06-16 23:23:59,40.395926,-74.070869,STATION_05,AGENT_20,2024-06-16 23:16:00,2024-06-16 23:16:02,477,15
CALL_001347,1718595060,1718595060,2024-06-17 00:40:25,40.574427,-74.014607,STATION_05,AGENT_17,2024-06-17 00:31:00,2024-06-17 00:31:00,565,15
CALL_001501,1718614740,1718614740,2024-06-17 06:05:44,40.601731,-73.842503,STATION_10,,2024-06-17 05:59:00,2024-06-17 05:59:00,404,0
CALL_001673,1718637180,1718637182,2024-06-17 12:20:18,40.643662,-73.939463,STATION_13,AGENT_11,2024-06-17 12:13:00,2024-06-17 12:13:02,436,15
CALL_001730,1718644440,1718644442,2024-06-17 14:26:09,40.677502,-74.062184,STATION_08,AGENT_11,2024-06-17 14:14:00,2024-06-17 14:14:02,727,15
CALL_000083,1718430960,1718430962,2024-06-15 03:19:36,40.715838,-74.07116,STATION_09,AGENT_13,2024-06-15 02:56:00,2024-06-15 02:56:02,1414,15
CALL_000393,1718471100,1718471102,2024-06-15 14:19:56,40.773889,-73.971351,STATION_01,AGENT_03,2024-06-15 14:05:00,2024-06-15 14:05:02,894,15
CALL_000414,1718474100,1718474102,2024-06-15 15:19:40,40.780121,-74.074815,STATION_08,AGENT_11,2024-06-15 14:55:00,2024-06-15 14:55:02,1478,15
